nid,title,anyo_produccion,body_value
12,"Abierto de 18 a 24",1988,"En una academia de tango, un hombre melancólico encuentra con quien compartir su soledad: Carla, la dueña del lugar. La rutina y la tristeza de la academia cambia con la llegada de este atractivo personaje. "
17,"El acompañamiento",1988,"Adaptación al cine de El acompañamiento, de Carlos Gorostiza, una de las obras esenciales del movimiento "Teatro Abierto", del cual formaron parte muchos de los nombres más importantes del teatro argentino. La historia central es la de Tuco, un cantante aficionado que cree ser un émulo de Carlos Gardel y que decide encerrarse en su pieza para un hipotético debut televisivo. "
28,"Adiós problemas",1955,"La estructura familiar de un correcto hombre comienza a tambalear cuando una bonita mujer decide seducirlo. "
30,"Adiós, Roberto",1985,"Un muchacho de barrio se separa de su esposa y empieza a compartir el departamento con un amigo de su primo, homosexual declarado. Entre ambos surge una relación afectiva."
31,"Adiós Sui Generis",1976,"Película documental basada en el recital que dio el grupo Sui Generis como despedida en el Luna Park el 5 de Septiembre de 1975. Contiene testimonios del publico asistente y algunos video clips."
34,"A dos aguas",1987,"Rey se encuentra con Isabel después de 15 años sin verse. En su momento fueron compañeros de la facultad, pero en ese encuentro en la Nochebuena de 1983 descubren que sus vidas tomaron rumbos distintos. Opera prima de Carlos Olguín."
49,"¡Al diablo con este cura!",1967,"Un sacerdote muy particular predica la caridad entre jóvenes, aristócratas y pobres."
51,"Al filo de la ley",1992,"Una pareja de estafadores roba un hotel en Miami. Ambos son perseguidos por un encargado de seguridad, que desea vengarse. "
54,"Alguien te está mirando",1988,"Un grupo de estudiantes es sometido por unos científicos norteamericanos para experimentar los efectos de una nueva droga. Las consecuencias son inesperadas."
87,"La amiga",1989,"Nueva mirada del cine argentino sobre la dictadura militar de los años 70 y los terribles daños que causó en la sociedad. Esta vez, el foco está puesto en dos amigas de muchos años separadas por el exilio provocado por la dictadura militar. Ambas se reencuentran durante los primeros años de la democracia y luchan por la justicia."
88,Amigomío,1994,"Un militante político de la década del 70 huye de la Argentina con su pequeño hijo de ocho años, luego de la desaparición de su esposa. Padre e hijo inician una larga travesía por Sudamérica que los lleva hasta Ecuador."
95,"El amor es una mujer gorda",1987,"En el amor es una mujer gorda, Alejandro Agresti, retrata la desesperación de la generación de jóvenes que sobrevivió a la sangrienta dictadura militar que dominó la Argentina entre 1976 y 1983. A través de la historia de un periodista que, dolido porque su novia lo ha abandonado, se deja caer en desgracia y marcha hacia la locura, Agresti pinta con resentimiento y desencanto una Buenos Aires vacía de ideales que presiente la llegada del neoliberalismo de fin de siglo."
107,"El ángel desnudo",1946,"Un hombre en bancarrota, acosado por deudas de juego, manda a su hermosa hija adolescente a pedirle dinero a un escultor. El artista aceptará prestarle la plata, pero a cambio de verla desnuda."
116,"Apenas un delincuente",1949,"Un oficinista decide "salvarse" quedándose con el dinero de los sueldos de la empresa para disfrutarlo a la salida de la cárcel, pero el sufrimiento de su familia y la desconfianza que le tiene a su hermano le harán planear una fuga."
131,"El arreglo",1983,"Una familia debe sobornar a un empleado de una compañía estatal para que éste les de agua corriente. El padre -un hombre recto en su conducta y ético en cada una de sus decisiones- se opone a la coima."
138,"Asesinato en el Senado de la Nación",1984,"La película narra el caso real del senador Lisandro de la Torre mientras investiga un caso de corrupción y cuenta, paralelamente, la vida del que intentará luego asesinarlo."
146,"Así o de otra manera",1964,"Un hombre casado se siente atraído por una sobrina adolescente que por problemas familiares pasa una temporada en su casa. Todo transcurre en una mezquina vida de pueblo, donde se va descubriendo un mundo triste, pequeño, hecho de
chismes y sobreentendidos. Este film tuvo dificultades para ser estrenado en el momento de su producción por motivos de censura."
